gene_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000167965,MLST8,4064.682227412597,-0.15745339320990936,0.06404995396362002,-2.458290497747148,0.013960020091732061,0.050203174681575216
ENSG00000167967,E4F1,1919.4742025182711,-0.06115450291418627,0.052028070006008065,-1.1754136355072233,0.2398292708851781,0.3939573581600753
ENSG00000167968,DNASE1L2,50.97353901555977,-0.24540875039706336,0.12461382746615016,-1.969354086838603,0.0489124442156947,0.12597633335666272
ENSG00000167969,ECI1,4833.340712182093,-0.1043102407758365,0.08337387718443942,-1.2511141894610673,0.21089281934413448,0.36093994409027885
ENSG00000167971,CASKIN1,342.34246166532347,-0.3408986069394033,0.10866011050015681,-3.1372930265786114,0.0017051561650129605,0.010227569334715657
ENSG00000167972,ABCA3,2559.239693129303,0.2131752021727762,0.09408252497700036,2.2658320684408664,0.023461667124873364,0.07382361085852611
ENSG00000167977,KCTD5,1942.5069080621897,-0.06654278579153988,0.05324858746946115,-1.2496629291754104,0.21142270463065918,0.36157151795212306
ENSG00000167978,SRRM2,43033.23894231504,0.007344507585386977,0.0705730611931753,0.10406956225525357,0.9171141454696952,0.9516887220244183
ENSG00000167981,ZNF597,328.14056922646967,-0.2517152135187962,0.12313875126902575,-2.044159218155987,0.040937820553592075,0.11067788814948884
ENSG00000167984,NLRC3,235.31560856253682,0.01898361229973129,0.09133024374080174,0.20785680101333584,0.8353407802284656,0.8966918285476625
ENSG00000167985,SDHAF2,1168.9375750295403,-0.18802022106976904,0.061878521686893125,-3.0385377016787194,0.002377293561122804,0.013178899686881575
ENSG00000167986,DDB1,17659.383619551456,0.028238327125510394,0.04494627969310051,0.6282683977033393,0.5298281302792891,0.6733055436187465
ENSG00000167987,VPS37C,2427.6634069331653,0.12953899825267162,0.040724334433191435,3.180874532527506,0.0014683120615304743,0.009159733784734099
ENSG00000167992,VWCE,997.675496135567,0.8411267410425133,0.1567392947663266,5.366406313723051,8.032089054461458e-8,3.8617606002743195e-6
ENSG00000167994,RAB3IL1,1323.3261314905867,-0.08571845085953779,0.07204627374816085,-1.189769385702976,0.2341370453572767,0.38758863759587764
ENSG00000167995,BEST1,171.04790928948532,0.017841335515845935,0.07793609409225588,0.22892262851569745,0.8189290525244806,0.8860304711495716
ENSG00000167996,FTH1,136364.15299517568,0.1984482232827017,0.09382276352125359,2.1151393951186206,0.0344180684445723,0.097340686512028
ENSG00000168000,BSCL2,960.1370563569668,-0.10966140410158734,0.06268647695627898,-1.7493630113887446,0.08022829034493613,0.18050622381348636
ENSG00000168002,POLR2G,4409.28379443032,-0.23802684304080782,0.06778990728830035,-3.511243082668858,4.460163530668197e-4,0.003707714409481564
ENSG00000168003,SLC3A2,8403.863906763056,-0.036030847991285475,0.05841928339059238,-0.6167629231324626,0.5373911108445443,0.6794574536365033
ENSG00000168004,PLAAT5,73.1726294937099,-0.6461241671502108,0.13878166137424242,-4.655688372312064,3.2290002288028427e-6,7.994407903430081e-5
ENSG00000168005,SPINDOC,2466.2281687735185,-0.2886636566431219,0.059111178464511985,-4.883402160835351,1.0427089920808112e-6,3.150952446715844e-5
ENSG00000168010,ATG16L2,942.3666242315663,0.059089368491953544,0.08119620711790741,0.7277355752116368,0.4667754686276182,0.6201212153202434
ENSG00000168014,C2CD3,2421.2570590425103,0.19109679007841218,0.055853761418899577,3.421377275653804,6.230483703414951e-4,0.004760978486480921
ENSG00000168016,TRANK1,1699.1029881741104,0.18273433275338888,0.09875964568076102,1.8502935231670907,0.06427125565575291,0.15417993951541992
ENSG00000168026,TTC21A,474.2373741032337,-0.19032995716808415,0.10042462975173479,-1.895251768800236,0.05805905463763168,0.14294613384752147
